ID,Suite,Title,Endpoint,Expected Status,Technique,Notes,trip_windows,destination_ids,destination_names,destination_windows,expected_ids,expected_names,expected_windows,expected_errorcodes
SD-01,scaffold-days,one city (3-day span) -> 3 day trip,"POST
/generate",200,Boundary Value Analysis,variant of IV-00 with different date fields and cities,2025-10-01..2025-10-03,d1,City A,2025-10-01..2025-10-03,d1,City A,2025-10-01..2025-10-03,
SD-02,scaffold-days,one city (3-day span) -> 3 day trip with the first day before the trip dates,"POST
/generate",400,Boundary Value Analysis,variant of IV-00 with different date fields and cities,2025-10-01..2025-10-03,d1,City A,2025-09-30..2025-10-02,,,,city_outside_trip
SD-03,scaffold-days,one city (3-day span) -> 3 day trip with the last day after the trip dates,"POST
/generate",400,Boundary Value Analysis,variant of IV-00 with different date fields and cities,2025-10-01..2025-10-03,d1,City A,2025-10-02..2025-10-04,,,,city_outside_trip
SD-04,scaffold-days,two cities back to back with no gap,"POST
/generate",200,Boundary Value Analysis,variant of IV-00 with different date fields and cities,2025-10-01..2025-10-04,d1;d2,City A;City B,2025-10-01..2025-10-02;2025-10-03..2025-10-04,d1;d2,City A;City B,2025-10-01..2025-10-02;2025-10-03..2025-10-04,
SD-05,scaffold-days,two cities with 1 day overlap,"POST
/generate",400,Boundary Value Analysis,variant of IV-00 with different date fields and cities,2025-10-01..2025-10-04,d1;d2,City A;City B,2025-10-01..2025-10-03;2025-10-03..2025-10-04,,,,overlap_between_cities
SD-06,scaffold-days,two cities with gap in between,"POST
/generate",400,Boundary Value Analysis,variant of IV-00 with different date fields and cities,2025-10-01..2025-10-05,d1;d2,City A;City B,2025-10-01..2025-10-02;2025-10-04..2025-10-05,,,,gap_between_cities
SD-07,scaffold-days,two cities in an unordered input,"POST
/generate",200,Robust,variant of IV-00 with different date fields and cities,2025-10-01..2025-10-04,d2;d1,City B;City A,2025-10-03..2025-10-04;2025-10-01..2025-10-02,d1;d2,City A;City B,2025-10-01..2025-10-02;2025-10-03..2025-10-04,
SD-08,scaffold-days,two cities sharing the same city placeid,"POST
/generate",400,Robust,variant of IV-00 with different date fields and cities,2025-10-01..2025-10-04,d1;d1,City A;City A,2025-10-01..2025-10-02;2025-10-03..2025-10-04,,,,duplicate_cities
SD-09,scaffold-days,one city (1-day span) -> 1 day trip,"POST
/generate",200,Boundary Value Analysis,variant of IV-00 with different date fields and cities,2025-10-01..2025-10-01,d1,City A,2025-10-01..2025-10-01,d1,City A,2025-10-01..2025-10-01,
SD-10,scaffold-days,two cities with 2 day overlap,"POST
/generate",400,Boundary Value Analysis,variant of IV-00 with different date fields and cities,2025-10-01..2025-10-04,d1;d2,City A;City B,2025-10-01..2025-10-03;2025-10-02..2025-10-04,,,,overlap_between_cities
SD-11,scaffold-days,two cities with 2 day gap,"POST
/generate",400,Boundary Value Analysis,variant of IV-00 with different date fields and cities,2025-10-01..2025-10-06,d1;d2,City A;City B,2025-10-01..2025-10-02;2025-10-05..2025-10-06,,,,gap_between_cities